Season,Date,Opponent,Result,Location,Goals,Assists,Points,Shots,SOG,GB,TO,CT,Goals_Allowed
2021,02/20/2021,Michigan,W,home,20,11,31,48,30,42,12,8,9
2021,02/26/2021,Penn St.,W,away,13,11,24,33,24,34,15,14,7
2021,03/06/2021,Johns Hopkins,W,home,18,13,31,41,27,31,10,10,10
2021,03/13/2021,Rutgers,W,home,19,10,29,45,26,30,9,8,12
2021,03/20/2021,Ohio St.,W,away,16,12,28,41,30,29,12,4,8
2021,03/28/2021,Rutgers,W,away,13,7,20,40,23,31,19,7,9
2021,04/03/2021,Penn St.,W,home,17,9,26,42,25,36,13,8,10
2021,04/10/2021,Michigan,W,away,18,13,31,41,27,25,8,4,12
2021,04/18/2021,Ohio St.,W,home,18,12,30,42,25,34,14,11,8
2021,04/24/2021,Johns Hopkins,W,away,14,6,20,39,25,33,12,5,13
2021,05/06/2021,Michigan,W,neutral,16,11,27,46,27,31,9,5,8
2021,05/08/2021,Johns Hopkins,W,neutral,12,7,19,33,15,25,16,7,10
2021,05/16/2021,Vermont,W,home,17,6,23,40,29,44,13,12,11
2021,05/22/2021,Notre Dame,W,away,14,7,21,42,30,30,10,11,13
2021,05/29/2021,Duke,W,neutral,14,9,23,32,25,40,23,6,5
2021,05/31/2021,Virginia,L,neutral,16,12,28,49,28,41,10,10,17
