Season,Date,Opponent,Result,Location,Goals,Assists,Points,Shots,SOG,GB,TO,CT,Goals_Allowed
2023,02/04/2023,Jacksonville,W,away,12,6,18,44,25,43,20,8,7
2023,02/11/2023,Georgetown,W,home,13,8,21,40,26,28,13,4,12
2023,02/14/2023,North Carolina,L,home,7,3,10,32,21,31,17,8,11
2023,02/18/2023,Loyola Maryland,L,away,8,1,9,38,21,30,17,6,13
2023,02/25/2023,Utah,W,home,12,9,21,33,26,37,13,9,8
2023,03/04/2023,Saint Joseph's,W,home,15,12,27,31,21,30,21,11,14
2023,03/07/2023,Virginia,L,home,13,8,21,31,22,22,14,6,18
2023,03/11/2023,Syracuse,W,away,11,6,17,40,23,27,15,6,9
2023,03/17/2023,Navy,W,away,12,8,20,39,25,27,20,5,9
2023,03/19/2023,Delaware,W,home,12,8,20,48,31,49,16,9,10
2023,03/25/2023,Michigan,W,away,15,7,22,43,23,34,16,10,11
2023,04/01/2023,Rutgers,W,home,16,8,24,38,25,25,14,9,12
2023,04/08/2023,Penn St,L,away,11,5,16,42,28,28,14,5,12
2023,04/15/2023,Ohio St,W,home,17,12,29,39,28,33,17,7,8
2023,04/22/2023,Maryland,W,away,12,6,18,36,20,37,18,11,11
2023,05/04/2023,Maryland,L,home,9,6,15,29,20,20,17,7,14
2023,05/14/2023,Bryant,W,home,22,16,38,53,35,47,12,10,8
2023,05/21/2023,Notre Dame,L,neutral,9,5,14,31,19,27,14,4,12
