Season,Date,Opponent,Result,Location,Goals,Assists,Points,Shots,SOG,GB,TO,CT,Goals_Allowed
2021,02/20/2021,Ohio State,L,home,8,3,11,32,19,26,19,5,14
2021,02/27/2021,Michigan,W,away,14,10,24,33,21,28,15,8,7
2021,03/06/2021,Maryland,L,away,10,7,17,33,24,20,15,4,18
2021,03/13/2021,Penn St,W,home,13,6,19,46,27,28,10,9,6
2021,03/20/2021,Rutgers,L,home,9,5,14,31,21,27,18,6,15
2021,03/28/2021,Penn St,L,away,8,4,12,39,23,39,14,11,11
2021,04/04/2021,Michigan,L,home,10,8,18,38,26,35,16,9,13
2021,04/10/2021,Ohio State,L,away,12,5,17,37,19,31,15,4,14
2021,04/17/2021,Rutgers,L,away,11,7,18,33,26,22,17,4,17
2021,04/24/2021,Maryland,L,home,13,8,21,38,23,30,13,6,14
2021,05/01/2021,Penn St,W,away,15,9,24,31,21,28,13,10,7
2021,05/06/2021,Rutgers,W,neutral,12,4,16,36,24,34,16,5,10
2021,05/08/2021,Maryland,L,neutral,10,4,14,33,17,37,18,9,12
